"","Category","Description","Nutrient Bank Number","Carbohydrate","Choline","Niacin","Protein","Riboflavin","Selenium","Sugar Total","Thiamin","Water","Monosaturated Fat","Polysaturated Fat","Saturated Fat","Total Lipid","Calcium","Copper","Iron","Magnesium","Phosphorus","Potassium","Sodium","Zinc","Vitamin A and RAE","Vitamin B6","Vitamin E","Vitamin K"
"16","Candy","Candy, NFS",91700010,98,0,0.007,0,0.003,0.6,62.9,0.004,1.3,0,0,0,0.2,3,0.029,0.3,3,3,5,38,0.01,0,0.003,0,0
"17","Hard candy","Hard candy",91745020,98,0,0.007,0,0.003,0.6,62.9,0.004,1.3,0,0,0,0.2,3,0.029,0.3,3,3,5,38,0.01,0,0.003,0,0
"18","Fruit flavored drink","Fruit flavored drink, powdered, not reconstituted",92900110,97.9,0.1,0,0,0.011,0.3,97.15,0.002,0.52,0.129,0.531,0.183,1.01,11,0.025,0.17,165,99,39,130,0.03,0,0,0.08,1.9
"19","Sports drink","Sports drink, dry concentrate, not reconstituted",92900300,97.9,0.1,0,0,0.011,0.3,97.15,0.002,0.52,0.129,0.531,0.183,1.01,11,0.025,0.17,165,99,39,130,0.03,0,0,0.08,1.9
"20","Chewing gum","Chewing gum, regular",91801000,96.7,0,0,0,0,0.6,66.08,0,2.6,0.079,0.137,0.042,0.3,0,0,0,0,0,2,1,0,0,0,0,0
"21","Persimmon","Persimmon, dried",62120000,96.07,20.2,0.239,1.54,0.057,1.9,80.06,0.056,0.86,0.098,0.114,0.053,0.66,22,0.303,0.42,24,45,429,3,0.3,108,0.239,1.94,6.9
"22","Chewing gum","Chewing gum, NFS",91800100,95.37,0,0,0,0,0.5,19.82,0,3.23,0.089,0.204,0.053,0.37,14,0,0,0,0,1,5,0,0,0,0,0
"23","Coffee","Coffee, instant, pre-sweetened with sugar, not reconstituted",92191400,94.92,19.7,5.453,2.36,0.03,2.9,80.48,0.002,0.62,0.008,0.038,0.038,0.36,28,0.033,0.89,64,59,686,8,0.08,0,0.006,0,0.4
"24","Chewing gum","Chewing gum, sugar free",91802000,94.8,0,0,0,0,0.5,0,0,3.5,0.093,0.232,0.058,0.4,20,0,0,0,0,0,7,0,0,0,0,0
"25","Licorice","Licorice",91721000,93.55,0,0.008,0,0.011,1.1,70,0.004,6.3,0,0,0,0.05,3,0.028,0.13,2,4,37,50,0.05,0,0.004,0,0
"26","Fondant","Fondant",91707000,93.18,0,0,0,0.016,0.6,88.9,0.005,6.74,0,0,0,0.02,3,0.003,0.01,0,0,4,11,0.04,0,0,0,0
"27","Milk","Milk, malted, dry mix, not reconstituted",11830260,92.96,0,18.182,0,0,0,72.73,1.364,1.28,0,0,0,0,909,1.818,16.36,218,0,0,530,13.64,1365,1.818,12.27,0
"28","Nougat","Nougat, plain",91726000,92.39,5.1,0.478,3.33,0.148,2.6,44.97,0.013,2.15,0,0,1.667,1.67,32,0.134,0.59,32,55,105,33,0.42,0,0.02,2.77,0
"29","Tamarind candy","Tamarind candy",91708070,91.96,4.2,0.95,0,0.085,1,78.57,0.212,2.52,0,0,0,0,0,0.048,0,45,56,309,1643,0.08,1,0.032,0.05,1.4
"30","Cereal","Cereal, frosted rice",57216000,91.3,3.6,16.7,4.3,1.42,15.4,40.2,1.25,2.5,0.1,0.1,0.1,0.4,6,0.164,18,23,81,59,371,0.8,1250,1.67,11.25,0.1
"31","Sugar substitute","Sugar substitute, sucralose, powder",91107000,91.17,0,0,0,0,0,80.33,0,8.83,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"32","Skittles","Skittles",91745100,90.78,0,0.007,0.19,0.023,1,75.84,0,3.83,0,0,4.115,4.37,0,0.036,0,1,1,12,15,0.02,0,0.003,0.17,1.1
"33","Cereal (Malt-O-Meal Corn Bursts)","Cereal (Malt-O-Meal Corn Bursts)",57305180,90.59,4.7,32.25,3.32,2.74,6.5,46.88,2.42,2.5,0.084,0.157,0.093,0.35,5,0.058,5.8,4,37,71,855,4.84,700,3.23,0.07,0
"34","Butterscotch hard candy","Butterscotch hard candy",91745040,90.4,0.8,0.002,0.03,0.016,0.6,80.46,0.012,5.25,0.845,0.122,2.065,3.3,4,0.001,0.01,0,1,3,391,0.09,28,0,0.09,0.3
"35","Chocolate beverage powder","Chocolate beverage powder, dry mix, not reconstituted",11830160,90.28,3.3,0.199,4.55,0.056,1.9,81.82,0.009,1.1,0,0,2.273,2.27,455,0.909,0,53,86,280,136,6.82,0,0.909,0.04,0.9
"36","Cereal (Malt-O-Meal Frosted Flakes)","Cereal (Malt-O-Meal Frosted Flakes)",57305210,90.2,5.4,16.12,4.25,1.37,5.5,39.27,1.21,3,0.171,0.435,0.107,0.87,3,0.12,11.6,12,46,82,451,0.24,454,1.61,0.09,0.2
"37","Cereal","Cereal, frosted corn flakes",57348000,90.2,5.4,16.12,4.25,1.37,5.5,39.27,1.21,3,0.171,0.435,0.107,0.87,3,0.12,11.6,12,46,82,451,0.24,454,1.61,0.09,0.2
"38","Sugar substitute","Sugar substitute, powder, NFS",91200000,90.14,0,0,0.66,0,0.1,82.09,0,8.79,0,0,0,0,0,0,0.02,0,0,4,150,0,0,0,0,0
"39","Cereal (Malt-O-Meal Fruity Dyno-Bites)","Cereal (Malt-O-Meal Fruity Dyno-Bites)",57305300,90.1,3.4,26.5,3.9,2.51,9,42.6,1.46,1.2,2.12,0.258,0.64,3.15,3,0.128,7.62,15,67,76,630,5.99,1090,2.74,1.27,0.2
"40","Cereal (Post Golden Crisp)","Cereal (Post Golden Crisp)",57355000,90.1,13.8,18.5,5.5,1.6,48.6,53.6,1.4,1.4,0.6,0.6,0.2,1.7,15,0.2,6.7,59,227,176,95,5.6,832,1.9,0.33,0.9
"41","Cereal (Kellogg's Corn Pops)","Cereal (Kellogg's Corn Pops)",57347000,89.7,7.1,16.7,4.8,1.42,6.5,31.3,1.25,3,0.2,0.5,0.5,1.3,7,0.083,6,28,52,113,357,5,467,1.67,0.12,0
